string_id,location,language,english_source,draft,corrected_translation,reviewer_notes
tagline,hero,fr,"Find your way, one story at a time.","Trouvez votre chemin, une histoire à la fois.",,
tagline,hero,es,"Find your way, one story at a time.","Encuentra tu camino, una historia a la vez.",,
tagline,hero,pt,"Find your way, one story at a time.","Encontra o teu caminho, uma história de cada vez.",,
tagline,hero,it,"Find your way, one story at a time.","Trova la tua strada, una storia alla volta.",,
tagline,hero,de,"Find your way, one story at a time.","Finde deinen Weg, eine Geschichte nach der anderen.",,
tagline,hero,ru,"Find your way, one story at a time.",Найди свой путь — по одной истории за раз.,,
tagline,hero,ar,"Find your way, one story at a time.",اعثر على طريقك، قصة تلو الأخرى.,,
tagline,hero,zh,"Find your way, one story at a time.",找到你的路，一次一个故事。,,
intro,hero,fr,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Des histoires à embranchements pour qui apprend l'anglais, où c'est vous le héros. La même histoire est écrite à trois niveaux — vous lisez en A2, B1 ou B2, changez de niveau quand vous voulez, et faites les mêmes choix que tout le monde. Chaque mot vous attend dans votre langue dès que vous en avez besoin.",,
intro,hero,es,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Historias ramificadas para quienes aprenden inglés, donde el héroe eres tú. La misma historia está escrita en tres niveles: lees en A2, B1 o B2, cambias de nivel cuando quieras y tomas las mismas decisiones que los demás. Cada palabra te espera en tu idioma cuando la necesitas.",,
intro,hero,pt,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Histórias ramificadas para quem aprende inglês, em que o herói és tu. A mesma história está escrita em três níveis — lês em A2, B1 ou B2, mudas de nível quando quiseres e fazes as mesmas escolhas que os outros. Cada palavra espera por ti na tua língua sempre que precisares.",,
intro,hero,it,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Storie a bivi per chi impara l'inglese, dove l'eroe sei tu. La stessa storia è scritta su tre livelli: leggi in A2, B1 o B2, cambi livello quando vuoi e fai le stesse scelte di tutti gli altri. Ogni parola ti aspetta nella tua lingua quando ne hai bisogno.",,
intro,hero,de,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Verzweigte Geschichten für alle, die Englisch lernen – und du bist die Heldin oder der Held. Dieselbe Geschichte gibt es auf drei Niveaus: Du liest in A2, B1 oder B2, wechselst das Niveau, wann du willst, und triffst dieselben Entscheidungen wie alle anderen. Jedes Wort wartet in deiner Sprache, wenn du es brauchst.",,
intro,hero,ru,"Branching stories for people learning English, where you are the hero. The same story is written at three levels — so you read at A2, B1, or B2, switch level whenever you like, and still make the same choices as everyone else. Every word waits in your language when you need it.","Разветвлённые истории для тех, кто учит английский, где герой — это ты. Одна и та же история написана на трёх уровнях: читай на A2, B1 или B2, меняй уровень когда захочешь и делай те же выборы, что и все остальные. Каждое слово ждёт тебя на твоём языке, когда оно понадобится.",,
